spot_name,location,phone,website,entrance_fee,operating_hours
교동도 난정저수지,인천 강화군 교동면 난정리 1556,정보 없음,정보 없음,무료입장/프로그램별 이용료 상이,영업 시간: 일출~일몰  낚시터 이용 시간  붕어 낚시 00:00~24:00  루어 낚시 일출~일몰
너나들이 캠핑장(인천대공원),인천 남동구 무네미로 238,정보 없음,정보 없음,프로그램별 이용료 상이,당일 피크닉 구역 : 10:00~22:00
문라이트 캠핑장,인천 강화군 길상면 해안남로 656,정보 없음,https://cafe.naver.com/moonlightcamping,5만원 연박시 (5000원 할인),목요일13:00~월요일12:00
삼산저수지,인천 강화군 삼산면 삼산서로310번길 21,032-932-8265,정보 없음,무료,00:00~24:00
서포리 오토캠핑장,인천 옹진군 덕적면 덕적남로587번길 28,정보 없음,정보 없음,"1사이트: 20,000원(1시간 초과 시 1,000원, 2시간 초과 시 2,000원, 4시간 초과 시 20,000원)",00:00~24:00
선재도 트리캠핑장,인천 옹진군 영흥면 선재리 산13,정보 없음,www.treecamping.net,"60,000원",입실 14:00  퇴실 12:00
선재도 어촌체험 휴양마을 해상낚시터,인천 옹진군 영흥면 선재로 5,032-887-3110,www.선재체험마을.com,"일반: 12,000원<br> 청소년: 10,000원<br> 어린이: 5,000원<br>",09:00~17:00
솔바다캠핑장,인천 옹진군 영흥면 영흥서로 527-17,정보 없음,www.솔바다캠핑장.kr,"비수기(월~목) 40,000원, (금~일) 45,000원 <br>성수기(월~목) 50,000원, (금~일) 55,000원",입실 13:00  퇴실 12:00
두리생태공원캠핑장,인천 계양구 귤현동 28-1,정보 없음,www.riverguide.go.kr/kor/camp,"4~10월(월~목) 22,000원, (금~일, 공휴일 전일 및 당일) 27,000원 <br>11~3월(월~목) 20,000원, (금~일, 공휴일 전일 및 당일) 27,000원",입실 14:00  퇴실 11:00  (코로나19로 인해 운영 중단 중)
왕산가족오토캠핑장,인천 중구 용유서로423번길 60,1588-3266,wangsanautocamp.com,프로그램별 이용료 상이,입실 15:00  퇴실 11:00
연수둘레길,인천광역시 연수구 일원,032-749-8712~4,정보 없음,무료,00:00~24:00
장봉도 갯티길,인천 옹진군 북도면 장봉리,정보 없음,정보 없음,무료,00:00~24:00
남항낚시,인천광역시 중구 축항대로 150,032-888-0819,www.sunstarho.com,"130,000원",동절기: 05:00~20:00 하절기: 04:00~21:00
선재오토캠핑장,인천 옹진군 영흥면 선재로186번길 86-37,정보 없음,www.sjautocamping.imweb.me,"50,000원부터",입실 13:00 퇴실 12:00
강화고인돌캠핑장,인천 강화군 하점면 장정리 990,정보 없음,www.cafe.naver.com/ganghwagoindol ,프로그램별 이용료 상이,입실 13:00 퇴실 12:00
강화도산들애농원캠핑장수영장,인천 강화군 강화읍 고비고개로 171,정보 없음,www.sandeurae.modoo.at,"기본·대형 사이트: 50,000원<br>특대형사이트: 70,000원",입실 14:00  퇴실 12:00
강화캠핑파크,인천 강화군 길상면 신촌로146번길 14-11,070-4147-1021,www.cafe.naver.com/pp009,"글램핑: 120,000<br>캐러반: 100,000원<br>게스트룸(펜션): 170,000원",입실 15:00  퇴실 11:00
교동아일랜드카라반,인천 강화군 교동면 읍내리 6-5,정보 없음,정보 없음,"카라반: 110,000원(기준 인원 초과 시 1명당 20,000원)",입실 15:00 퇴실 11:00
노을빛바다애글램핑,인천 강화군 화도면 해안남로 2421-210,정보 없음,www.badaaeglamping.com,"비수기: 150,000원<br>성수기: 210,000원",입실 15:00  퇴실 11:00
동검도노을캠핑장,인천 강화군 길상면 동검길 159-13,정보 없음,www.강화오토캠핑장.kr,"사이트: 50,000원 <br>방갈로: 70,000원",입실 13:00~21:00  퇴실 12:00
뮤즈캠핑장,인천 강화군 강화읍 고비고개로 322,032-934-0110,www.cafe.naver.com/musecamp,"사이트: 50,000원<br>카라반: 200,000원<br>텐트: 10,000원",입실 10:00(연휴 시 13:00)  퇴실 12:00
민머루잼머,인천광역시 강화군 삼산면 매음리 909-3,정보 없음,www.민머루잼머.com,"일~목요일: 120,000원<br>금요일: 160,000원<br>토요일: 250,000원",입실 15:00  퇴실 11:00
바다로글램핑,인천 강화군 화도면 해안남로 2421-228,정보 없음,www.badarocamping.com,"190,000원",입실 15:00~22:00  퇴실 11:00
오크힐글램핑,인천 강화군 화도면 해안남로1998번길 8-28,정보 없음,www.오크힐글램핑.com,"A: (일~목)130,000원, (금요일, 연휴)160,000원, (토요일, 공휴일 전일)190,000원<br> B·C: (일~목)150,000원, (금요일, 연휴)180,000원, (토요일, 공휴일 전일)210,000원",입실 15:00  퇴실 11:00
프랭클리로스터리커피,인천 강화군 선원면 시리미로237번길 32,032-933-0118,정보 없음,"150,000원부터",입실 15:00  퇴실 11:00
아르보리아파크캠핑장,인천 강화군 길상면 장흥로101번길 65,정보 없음,www.arboreacamp.com,"70,000원",입실 14:00  퇴실 11:00
햇솔오토캠핑장,인천 강화군 길상면 선두리 907-3,정보 없음,www.cafe.naver.com/blueoosv6,"40,000원부터",입실 13:00  퇴실 12:00
낭만에코파크,인천 강화군 양도면 중앙로814번길 19-16,정보 없음,www.cafe.naver.com/nmcamping,"1사이트 당 50,000원",입실 13:00  퇴실 12:00
덕산국민여가캠핑장,인천 강화군 내가면 고천리 산 494,032-930-7056,www.dscamp.ghss.or.kr,"일~목: 25,000원 <br> 금~토, 공휴일 전날: 35,000원<br>성수기(7~10월) 35,000원",입실 14:00  퇴실 11:00
아로니움글램핑,인천 강화군 삼산면 삼산남로 85-11,정보 없음,www.aronium.co.kr,"[A-2인실]<br>월~목요일: 90,000원<br>금요일: 150,000원<br>토~일요일: 170,000원 <br><br>[A-4인실·B온돌실] <br>월~목요일: 130,000원<br>금요일: 190,000원<br>토~일요일: 210,000원",입실 15:00~21:00  퇴실 11:00
정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
